Tag,Normalized,Count,Status,Variants
"Community","community",809,"known",""
"Nightlife","nightlife",791,"known",""
"Wellness","wellness",561,"known",""
"Live Music","live music",474,"known",""
"Beer","beer",473,"known",""
"Education","education",457,"known",""
"Spiritual","spiritual",429,"known",""
"Art","art",348,"known",""
"Trivia","trivia",261,"known",""
"Family","family",239,"known",""
"Fitness","fitness",239,"known",""
"Support Groups","support groups",182,"known",""
"Dance","dance",163,"known",""
"Outdoors","outdoors",144,"known",""
"Gaming","gaming",139,"known",""
"Theater & Film","theater & film",122,"known",""
"Dining","dining",120,"known",""
"Networking","networking",106,"known",""
"Wine & Spirits","wine & spirits",99,"known",""
"Holiday","holiday",88,"known",""
"Sports","sports",83,"known",""
"Comedy","comedy",74,"known",""
"Crafts","crafts",71,"known",""
"Markets","markets",60,"known",""
"LGBTQ+","lgbtq+",53,"known",""
"Book Club","book club",51,"known",""
"Tours","tours",47,"known",""
"Pets","pets",44,"known",""
"Dating","dating",32,"known",""
"Civic","civic",20,"known",""
"Food Classes","food classes",11,"known",""
"Volunteering","volunteering",7,"known",""
"beginner friendly","beginner friendly",442,"other","beginner friendly; beginner-friendly"
"brewery venue","brewery venue",184,"other","brewery venue; brewery-venue"
"pub trivia","pub trivia",144,"other","pub trivia; pub-trivia"
"open-mic","open mic",127,"other","open-mic; open mic"
"all-levels","all levels",126,"other","all-levels; all levels"
"museum exhibition","museum exhibition",111,"other","museum exhibition; museum-exhibition"
"brewery taproom","brewery taproom",101,"other","brewery taproom; brewery-taproom"
"karaoke","karaoke",100,"other",""
"weekly event","weekly event",100,"other","weekly event; weekly-event"
"drop-in","drop in",98,"other","drop-in; drop in"
"late night","late night",97,"other","late night; late-night"
"meditation","meditation",94,"other",""
"weekly","weekly",94,"other",""
"family friendly","family friendly",83,"other","family friendly; family-friendly"
"free event","free event",82,"other","free event; free-event"
"bar venue","bar venue",75,"other","bar venue; bar-venue"
"open jam","open jam",74,"other","open jam; open-jam"
"acoustic","acoustic",73,"other",""
"bluegrass","bluegrass",71,"other",""
"all-ages","all ages",71,"other","all-ages; all ages"
